362	FN-332	M2	57	12	1
363	FN-333	M2	33	59	1
364	FN-334	M2	47	63	1
365	FN-335	M2	74	16	1
366	FN-336	M2	49	92	1
367	FN337-S	M2	63	25	1
368	FN-338	M2	43	3	1
369	FN-339	M2	40	47	1
370	FN-341	M2	66	105	1
371	FN-342	M2	60	18	1
372	FN343-S	M2	82	33	1
373	FN-344	M2	117	24	1
374	FN-345	M2	67	167	1
375	FN-346	M2	55	21	1
376	FN347-S	M2	63	145	1
377	FN-348	M2	52	241	1
378	FN-349	M2	58	23	1
379	FN-350	M2	63	102	1
380	FN351-S	M2	58	40	1
381	FN-353	M2	58	31	1
382	FN354-S	M2	59	22	1
383	FN355-S	M2	59	7	1
384	FN-356	M2	51	10	1
385	FN358-S	M2	49	11	1
386	FN-359	M2	40	12	1
387	FN360-S	M2	40	8	1
388	W360-2S-2	M2	69	87	0
389	FN-361	M2	60	27	0
390	FN-362	M2	72	227	1
391	FN-363	M2	67	152	1
392	FN-364	M2	42	10	1
393	FN-365	M2	36	54	1
394	FN-366	M2	47	11	1
395	FN367-S	M2	50	104	1
396	FN-368	M2	48	12	1
397	FN369-S	M2	64	86	1
398	FN-370	M2	61	7	1
399	FN-371	M2	47	45	1
400	FN-372	M2	42	4	1
401	FN373-S	M2	57	12	1
402	FN-374	M2	54	11	1
403	FN-375	M2	62	157	1
404	FN-377	M2	34	5	1
405	FN378-S	M2	38	91	1
406	FN-379	M2	39	41	1
407	FN-380	M2	44	13	1
408	FN-381	M2	42	49	1
409	FN-382	M2	44	57	1
410	FN-384	M2	38	7	1
411	W385-6-8-4	M2	86	58	0
412	FN-386	M2	46	31	1
413	FN-387	M2	56	37	1
414	FN-388	M2	36	26	1
415	FN389-S	M2	77	109	1
416	FN-390	M2	64	23	1
417	FN391-S	M2	75	7	1
418	FN-392	M2	61	47	1
419	FN-393	M2	31	6	1
420	FN-394	M2	62	16	1
421	FN395-S	M2	56	41	1
422	FN-396	M2-SOS	36	8	1
423	FN-397	M2	47	6	1
424	FN_398-1	M2	46	21	0
425	FN_398-3-4-5	M2	38	20	0
426	FN399-S	M2	61	11	1
427	FN-399	M2	51	38	1
428	FN400-S	M2	53	531	1
429	FN-400	M2	40	88	1
430	FN-401	M2	47	46	1
431	FN401-S	M2	48	32	1
432	FN-402	M2	68	20	1
433	FN402-S	M2	55	6	1
434	FN403-S	M2	49	9	1
435	FN-403	M2	34	100	1
436	FN404-S	M2	59	9	1
437	FN-404	M2	3	2	1
438	FN405-S	M2	56	153	1
439	FN-405	M2	1	0	1
440	FN-406	M2	47	6	1
441	FN406-S	M2	62	136	1
442	FN407-S	M2	61	174	1
443	FN-407	M2	59	176	1
444	FN-408	M2	101	17	1
445	FN408-S	M2	46	11	1
446	FN-409	M2	72	19	1
447	FN409-S	M2	61	10	1
448	FN-410	M2	78	100	1
449	FN410-S	M2	51	13	1
450	FN411-S	M2	61	8	1
451	FN-411	M2	58	127	1
452	FN412-S	M2	48	7	1
453	FN-412	M2	50	66	1
454	FN413-S	M2	49	10	1
455	FN414-S	M2	79	42	0
456	FN415-S	M2	41	9	1
457	FN416-S	M2	79	36	1
458	W416-6-1	M2	54	48	1
459	FN417-S	M2	59	58	1
460	FN418-S	M2	72	19	1
461	FN419-S	M2	62	16	1
462	FN420-S	M2	62	80	1
463	FN421-S	M2	59	29	1
464	FN422-S	M2	11	11	1
465	FN423-S	M2	5	1	1
466	W423-5-1	M2	74	52	1
467	FN424-S	M2	98	106	1
468	FN425-S	M2	70	68	0
469	FN426-S	M2	64	30	1
470	W426-1-1	M2	61	37	1
471	FN427-S	M2	73	41	1
472	W427-1-1	M2	50	12	1
473	FN428-S	M2	87	15	1
474	FN429-S	M2	85	23	1
475	FN430-S	M2	83	86	1
476	FN431-S	M2	62	42	1
477	FN432-S	M2	67	92	1
478	FN433-S	M2	48	42	1
479	FN434-S	M2	60	30	1
480	FN435-S	M2	39	72	1
481	FN436-S	M2	58	14	1
482	FN437-S	M2	62	50	1
483	FN438-S	M2	78	28	1
484	FN439-S	M2	78	25	1
485	FN440-S	M2	51	44	1
486	FN441-S	M2	68	14	1
487	FN442-S	M2	62	21	1
488	FN443-S	M2	60	33	1
489	W443-5-1-3	M2	60	7	0
490	FN444-S	M2	52	24	1
491	FN445-S	M2	73	34	1
492	FN446-S	M2	50	11	1
493	FN447-S	M2	75	61	1
494	FN448-S	M2	70	11	1
495	FN449-S	M2	65	141	1
496	FN450-S	M2	48	13	1
497	W450-6-1	M2	55	10	1
498	FN451-S	M2	66	14	1
499	FN452-S	M2	39	21	1
500	FN453-S	M2	47	57	1
501	W453-3-1	M2	68	14	1
502	FN454-S	M2	44	11	1
503	FN455-S	M2	62	112	1
504	FN456-S	M2	90	62	1
505	FN457-S	M2	69	71	1
506	FN458-S	M2	46	18	1
507	FN459-S	M2	65	27	1
508	FN460-S	M2	69	17	1
509	FN461-S	M2	75	40	1
510	FN462-S	M2	72	11	1
511	FN463-S	M2	58	53	1
512	W463-2-1	M2	76	58	1
513	FN464-S	M2	72	15	1
514	W464-2-1	M2	58	26	1
515	FN465-S	M2	72	21	1
516	FN466-S	M2	61	18	1
517	W466-5-1	M2	67	11	1
518	FN467-S	M2	69	18	1
519	FN468-S	M2	55	21	1
520	FN469-S	M2	70	76	1
521	FN470-S	M2	58	13	1
522	W470-2-1	M2	78	14	1
523	FN471-S	M2	55	16	1
524	FN472-S	M2	47	31	1
525	W472-5-1	M2	66	13	1
526	FN473-S	M2	68	19	1
527	FN474-S	M2	71	55	1
528	FN475-S	M2	60	105	1
529	W475-4-2	M2	47	95	1
530	FN476-S	M2	72	14	1
531	FN477-S	M2	63	34	1
532	FN478-S	M2	55	9	1
533	FN479-S	M2	63	17	1
534	FN480-S	M2	66	147	1
535	W481-5-1	M2	66	15	1
536	FN482-S	M2	63	10	1
537	FN483-S	M2	86	32	1
538	FN484-S	M2	62	13	1
539	FN485-S	M2	65	21	1
540	FN486-S	M2	65	15	1
541	FN487-S	M2	71	78	1
542	FN488-S	M2	78	52	1
543	FN489-S	M2	63	51	1
544	FN490-S	M2	74	53	1
545	FN491-S	M2	72	50	1
546	FN492-S	M2	46	10	1
547	FN493-S	M2	58	14	1
548	FN494-S	M2	74	12	1
549	FN495-S	M2	71	35	1
550	FN496-S	M2	73	52	1
551	FN497-S	M2	87	25	1
552	FN498-S	M2	80	19	1
553	FN499-S	M2	68	16	1
554	FN500-S	M2	60	16	1
555	W500-4-7-1	M2	59	111	0
556	FN501-S	M2	69	20	1
557	FN502-S	M2	63	45	1
558	W502-3-4	M2	50	17	1
559	FN503-S	M2	75	99	1
560	FN504-S	M2	72	19	1
561	FN505-S	M2-SOS	84	42	1
562	FN506-S	M2	56	143	1
563	FN507-S	M2	67	174	1
564	FN508-S	M2	52	4	1
565	FN509-S	M2	91	70	1
566	FN510-S	M2	67	12	1
567	FN511-S	M2	61	14	1
568	FN512-S	M2	77	27	1
569	FN513-S	M2	68	15	1
570	FN514-S	M2	52	17	1
571	FN515-S	M2	50	60	1
572	FN516-S	M2	66	73	1
573	FN517-S	M2	53	67	1
574	FN518-S	M2	37	18	1
575	FN519-S	M2	33	100	1
576	FN520-S	M2	53	15	1
577	FN521-S	M2	79	22	1
578	FN522-S	M2	71	97	1
579	FN523-S	M2	41	8	1
580	FN524-S	M2	69	60	1
581	FN525-S	M2	52	10	1
582	FN526-S	M2	52	14	1
583	FN527-S	M2	67	94	1
584	FN528-S	M2-SOS	6	0	1
585	FN529-BCF2-10	M2	44	8	1
586	FN530-S	M2	71	20	1
587	FN531-S	M2	43	23	1
588	FN532-S	M2-SOS	50	12	1
589	FN533-S	M2	58	31	1
590	FN534-S	M2	61	46	1
591	FN536-S	M2	56	49	1
592	FN537-S	M2	66	74	1
593	FN538-S	M2	5	2	1
594	FN539-S	M2	60	19	1
595	FN540-S	M2	64	101	1
596	FN541-S	M2	54	43	1
597	FN542-S	M2	63	21	1
598	FN543-S	M2	79	91	1
599	FN_543-2-6	M3	64	9	1
600	FN544-S	M2	72	35	1
601	FN545-S	M2	71	16	1
602	FN_546-3-1	M3	65	15	1
603	FN547-S	M2	56	173	1
604	FN548-S	M2	75	35	1
605	FN549-S	M2	59	14	1
606	FN550-S	M2	76	36	1
607	FN551-S	M2	64	83	1
608	FN552-S	M2-SOS	68	115	1
609	FN_552-1-1	M3	59	10	0
610	FN553-S	M2	69	33	1
611	FN554-S	M2-SOS	53	16	1
612	W554-1-1	M2	52	55	1
613	FN555-S	M2	65	37	1
614	FN558-S	M2	52	10	1
615	FN559-S	M2	36	5	1
616	FN560-S	M2	47	14	1
617	FN561-S	M2	67	11	1
618	FN563-S	M2	44	12	1
619	FN564-S	M2	56	26	1
620	FN565-S	M2	66	193	1
621	FN566-S	M2	59	8	1
622	FN567-1-3	M2	57	38	0
623	FN568-S	M2	54	43	1
624	FN569-S	M2	47	21	1
625	FN570-S	M2	42	14	1
626	FN571-S	M2	60	13	1
627	FN573-S	M2	54	18	1
628	FN574-S	M2	58	8	1
629	FN576-S	M2	70	31	1
630	FN577-S	M2	68	34	1
631	W577-3-1	M2	63	51	1
632	FN579-S	M2-SOS	69	26	1
633	FN580-S	M2	56	14	1
634	FN581-S	M2	73	34	1
635	FN584-S	M2-SOS	66	16	1
636	FN585-S	M2	61	203	1
637	FN587-S	M2	60	70	1
638	FN588-S	M2	71	9	1
639	FN589-S	M2	65	18	1
640	FN590-S	M2	50	9	1
641	FN591-S	M2	69	182	1
642	W591-4-1	M2	48	18	1
643	FN593-S	M2	56	10	1
644	FN594-S	M2	51	11	1
645	FN596-S	M2	56	202	1
646	W596-1-1	M2	42	54	0
647	FN597-S	M2	49	13	1
648	FN598-S	M2	82	24	1
649	W598-2-1	M2	58	15	1
650	FN601-S	M2	59	17	1
651	W607-2-1	M2	64	11	1
652	FN618-S	M2	62	57	1
653	FN619-S	M2	53	21	1
654	FN620-S	M2	92	77	1
655	FN621-S	M2	72	21	1
656	FN622-S	M2	66	31	1
657	FN623-S	M2	59	260	1
658	FN624-S	M2	57	58	1
659	FN625-S	M2	59	16	1
660	FN626-S	M2	62	14	1
661	FN627-S	M2	85	149	1
662	FN628-S	M2	56	40	1
663	FN629-S	M2	50	14	1
664	FN630-S	M2	50	34	1
665	FN631-S	M2	67	17	1
666	CW-631-3-1	M2	74	20	1
667	FN632-S	M2	69	18	1
668	FN633-S	M2	66	20	1
669	FN654-S	M2	74	18	1
670	FN660-S	M2	43	17	1
671	FN661-S	M2	80	43	1
672	FN662-S	M2	53	36	1
673	FN664-S	M2	46	35	1
674	FN666-S	M2	71	60	1
675	FN669-S	M2	73	24	1
676	FN670-S	M2	89	69	1
677	FN671-S	M2	69	8	1
678	FN672-S	M2	64	70	1
679	FN673-S	M2	84	37	1
680	W674-4-1	M2	59	16	0
681	FN677-S	M2	50	7	1
682	FN678-S	M2	76	29	1
683	FN679-S	M2	51	12	1
684	FN680-S	M2	60	15	1
685	FN681-S	M2	66	14	1
686	FN682-S	M2	39	15	1
687	FN683-S	M2	14	45	1
688	FN684-S	M2	73	48	1
689	FN685-S	M2	44	12	1
690	FN687-S	M2	72	16	1
691	FN689-S	M2	67	94	1
